source,original_path,last_commit,last_commit_date,bytes,recovered_as,status
docs/reports/plans,docs/reports/plans/test-redundancy-analysis-f2e8d3.md,8730830964b,2026-04-05 17:47:48 -0400,12007,test-redundancy-analysis-f2e8d3.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test-suite-triage-and-cleanup-2a354f.md,8730830964b,2026-04-05 17:47:48 -0400,8591,test-suite-triage-and-cleanup-2a354f.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_deprecation_phase0_1_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,3042,test_deprecation_phase0_1_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_deprecation_phase11_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,5713,test_deprecation_phase11_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_deprecation_phase2_3_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,1960,test_deprecation_phase2_3_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_deprecation_phase4a_10_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,4509,test_deprecation_phase4a_10_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_deprecation_redo_sweep_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,4247,test_deprecation_redo_sweep_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_deprecation_scan.md,8730830964b,2026-04-05 17:47:48 -0400,84997,test_deprecation_scan.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_file_rebalancing_report.md,8730830964b,2026-04-05 17:47:48 -0400,2604,test_file_rebalancing_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_file_rebuild_plan.md,8730830964b,2026-04-05 17:47:48 -0400,11731,test_file_rebuild_plan.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_fixes_evidence_20260310.md,8730830964b,2026-04-05 17:47:48 -0400,5283,test_fixes_evidence_20260310.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_governance_prompt.md,8730830964b,2026-04-05 17:47:48 -0400,11703,test_governance_prompt.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_hardening_wave1_inventory.md,8730830964b,2026-04-05 17:47:48 -0400,4396,test_hardening_wave1_inventory.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_rigor_enforcement_implementation.md,8730830964b,2026-04-05 17:47:48 -0400,12198,test_rigor_enforcement_implementation.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_structure_discovery_report.md,8730830964b,2026-04-05 17:47:48 -0400,3261,test_structure_discovery_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_structure_final_report.md,8730830964b,2026-04-05 17:47:48 -0400,5413,test_structure_final_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_structure_implementation_summary.md,8730830964b,2026-04-05 17:47:48 -0400,3732,test_structure_implementation_summary.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/test_structure_mirror_final_report.md,8730830964b,2026-04-05 17:47:48 -0400,5503,test_structure_mirror_final_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/testing_consolidation_analysis.md,8730830964b,2026-04-05 17:47:48 -0400,3463,testing_consolidation_analysis.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/testing_consolidation_verification.md,8730830964b,2026-04-05 17:47:48 -0400,4233,testing_consolidation_verification.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/testing_structure_analysis_and_consolidation_plan-cae1b2.md,8730830964b,2026-04-05 17:47:48 -0400,10351,testing_structure_analysis_and_consolidation_plan-cae1b2.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/tests-broken-wave-plan-32d8a4.md,8730830964b,2026-04-05 17:47:48 -0400,17131,tests-broken-wave-plan-32d8a4.md,LOST_RECOVERED
